"ruleId","ruleName","profileCount","formalProfileId","formalProfileName","status","indicatorStatus","dataQuality","resultValue","targetValue","targetDirection","errorCode"
"HXZD-001-001","患者入院48小时内转科的比例","1","HXZD-001-001","推荐方案（公版）","SUCCESS","达标","异常","2.3981","60.0000","<",
"HXZD-002-001","患者入院8小时内查房率","1","HXZD-002-001","推荐方案（公版）","SUCCESS","未达标","异常","6.9378","10.0000",">=",
"HXZD-002-002","上级医师查房记录规范率","1","HXZD-002-002","推荐方案（公版）","SUCCESS","达标","异常","0.4785","0.0000",">=",
"HXZD-002-003","住院患者非计划手术率","1","HXZD-002-003","推荐方案（公版）","SUCCESS","未达标","异常","0.2404","0.0000","<",
"HXZD-003-001","急会诊及时到位率","1","HXZD-003-001","推荐方案（公版）","SUCCESS","未达标","异常","0","5.0000",">=",
"HXZD-003-002","急会诊有效率","1","HXZD-003-002","推荐方案（公版）","SUCCESS","未达标","异常","0","5.0000",">=",
"HXZD-003-003","普通会诊及时完成率","1","HXZD-003-003_001","推荐方案（公版）","SUCCESS","达标","异常","77.7778","5.0000",">=",
"HXZD-003-004","普通会诊有效率","1","HXZD-003-004","推荐方案（公版）","SUCCESS","未达标","异常","0","10.0000",">=",
"HXZD-004-001","手术患者特级护理","1","HXZD-004-001","推荐方案（公版）","SUCCESS","待确认","异常","10.1695",,"<",
"HXZD-005-001","四级手术患者手术当日床旁交接班占比","1","HXZD-005-001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"90.0000",">=",
"HXZD-006-001","非计划再次住院","1","HXZD-006-001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-006-002","非计划再次住院","1","HXZD-006-002","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-006-003","高额异常费用患者进行疑难病例讨论的占比","1","HXZD-006-003_001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,,,"INIT_NO_SOURCE_DATA"
"HXZD-007-001","急危重症患者抢救成功率","1","HXZD-007-001","推荐方案（公版）","SUCCESS","未达标","异常","53.3333","100.0000",">=",
"HXZD-008-001","术前讨论完成率","1","HXZD-008-001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-008-002","术者参加术前讨论率","2","HXZD-008-002_001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-008-003","术前讨论计划手术一致率","1","HXZD-008-003","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-008-004","实际手术术者与计划手术术者一致率","1","HXZD-008-004","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-009-001","死亡病例讨论5日完成率","1","HXZD-009-001","推荐方案（公版）","SUCCESS","未达标","异常","0","100.0000",">=",
"HXZD-009-002","医务部门组织讨论的死亡病例与发生纠纷的死亡病例比值","2","HXZD-009-002_001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"1",">=",
"HXZD-009-003","科主任主持死亡病例讨论率","2","HXZD-009-003_001","推荐方案（公版）","SUCCESS","未达标","异常","0","100.0000",">=",
"HXZD-009-004","死亡患者病案上传率","1","HXZD-009-004","推荐方案（公版）","SUCCESS","未达标","异常","0","100.0000",">=",
"HXZD-010-001","长期医嘱当日终止率","1","HXZD-010-001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,,"<",
"HXZD-011-001","手术医师手术时间重合率","1","HXZD-011-001","推荐方案（公版）","SUCCESS","达标","异常","0","5.0000","<",
"HXZD-011-002","麻醉医师手术时间重合率","1","HXZD-011-002","推荐方案（公版）","SUCCESS","达标","异常","0","5.0000","<",
"HXZD-012-001","四级手术与三级手术并发症发生率比","2","HXZD-012-001_001","推荐方案（公版）","SUCCESS","待确认","异常",,,,
"HXZD-012-002","四级手术与三级手术患者死亡率比","2","HXZD-012-002_001","推荐方案（公版）","SUCCESS","待确认","异常",,,,
"HXZD-012-003","四级手术术前多学科讨论完成率","2","HXZD-012-003_001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-012-004","三、四级手术实际开展率","2","HXZD-012-004_001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-013-001","新技术新项目留存转化率","1","HXZD-013-001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
"HXZD-014-001","危急值报告时间","1","HXZD-014-001","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"0","<",
"HXZD-014-002","住院患者危急值当日及时处置率","1","HXZD-014-002","推荐方案（公版）","SUCCESS","达标","异常","100","100.0000",">=",
"HXZD-015-001","特殊使用级抗菌药物使用会诊率","2","HXZD-015-001_001","推荐方案（公版）","SUCCESS","未达标","异常","9.375","100.0000",">=",
"HXZD-016-001","临床用血后评估记录率","1","HXZD-016-001","推荐方案（公版）","SUCCESS","达标","异常","100","100.0000",">=",
"HXZD-016-002","术中自体血回输率","1","HXZD-016-002","推荐方案（公版）","NO_SAMPLE","待确认","异常",,"100.0000",">=",
