"position","ruleId","ruleName","profileId","profileName","status","resultValue","numeratorCount","denominatorCount","sampleCount","unit","targetValue","targetDirection","qualityStatus","dataFreshness","errorCode","errorMessage"
"0","HXZD-001-001","患者入院48小时内转科的比例","HXZD-001-001","推荐方案（公版）","SUCCESS","2.3981","10","417","417","percentage","60.0000","<","ABNORMAL",,,
"1","HXZD-002-001","患者入院8小时内查房率","HXZD-002-001","推荐方案（公版）","SUCCESS","6.9378","29","418","418","percentage","10.0000",">=","ABNORMAL",,,
"2","HXZD-002-002","上级医师查房记录规范率","HXZD-002-002","推荐方案（公版）","SUCCESS","0.4785","2","418","418","percentage","0.0000",">=","ABNORMAL",,,
"3","HXZD-002-003","住院患者非计划手术率","HXZD-002-003","推荐方案（公版）","SUCCESS","0.2404","1","416","416","percentage","0.0000","<","ABNORMAL",,,
"4","HXZD-003-001","急会诊及时到位率","HXZD-003-001","推荐方案（公版）","SUCCESS","0","0","11","11","percentage","5.0000",">=","ABNORMAL",,,
"5","HXZD-003-002","急会诊有效率","HXZD-003-002","推荐方案（公版）","SUCCESS","0","0","11","11","percentage","5.0000",">=","ABNORMAL",,,
"6","HXZD-003-003","普通会诊及时完成率","HXZD-003-003_001","推荐方案（公版）","SUCCESS","77.7778","28","36","36","percentage","5.0000",">=","ABNORMAL",,,
"7","HXZD-003-004","普通会诊有效率","HXZD-003-004","推荐方案（公版）","SUCCESS","0","0","36","36","percentage","10.0000",">=","ABNORMAL",,,
"8","HXZD-004-001","手术患者特级护理","HXZD-004-001","推荐方案（公版）","SUCCESS","10.1695","6","59","59","percentage",,"<","ABNORMAL",,,
"9","HXZD-005-001","四级手术患者手术当日床旁交接班占比","HXZD-005-001","推荐方案（公版）","NO_SAMPLE",,"0","0","0","percentage","90.0000",">=","ABNORMAL",,,
"10","HXZD-006-001","非计划再次住院","HXZD-006-001","推荐方案（公版）","NO_SAMPLE",,"0","0","0","percentage","100.0000",">=","ABNORMAL",,,
"11","HXZD-006-002","非计划再次住院","HXZD-006-002","推荐方案（公版）","NO_SAMPLE",,"0","0","0","percentage","100.0000",">=","ABNORMAL",,,
"12","HXZD-006-003","高额异常费用患者进行疑难病例讨论的占比","HXZD-006-003_001","推荐方案（公版）","NO_SAMPLE",,"0","0","0",,,,"ABNORMAL",,"INIT_NO_SOURCE_DATA","当前统计窗口内源查询无可用数据。"
"13","HXZD-007-001","急危重症患者抢救成功率","HXZD-007-001","推荐方案（公版）","SUCCESS","53.3333","16","30","30","percentage","100.0000",">=","ABNORMAL",,,
"14","HXZD-008-001","术前讨论完成率","HXZD-008-001","推荐方案（公版）","NO_SAMPLE",,"0","0","0","percentage","100.0000",">=","ABNORMAL",,,
"15","HXZD-008-002","术者参加术前讨论率","HXZD-008-002_001","推荐方案（公版）","NO_SAMPLE",,"0","0","0","percentage","100.0000",">=","ABNORMAL",,,
"16","HXZD-008-002","术者参加术前讨论率","HXZD-008-002_002","变体方案","NO_SAMPLE",,"0","0","0","percentage","100.0000",">=","ABNORMAL",,,
"17","HXZD-008-003","术前讨论计划手术一致率","HXZD-008-003","推荐方案（公版）","NO_SAMPLE",,"0","0","0","percentage","100.0000",">=","ABNORMAL",,,
